ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
1,1,988,20.700000762939453,10.800000190734863,53.75,9.5,-66.839152,10.494155
2,1,219,25.399999618530273,11.100000381469727,39.97999954223633,10.100000381469727,-83.664421,8.642761
3,1,10,24.5,7.5,3.8499999046325684,12.680000305175781,-39.200282,-17.423446
4,1,39,27.700000762939453,9.800000190734863,5.53000020980835,13.350000381469727,-75.23813,8.716516
5,1,52,26.200000762939453,8.300000190734863,26.59000015258789,10.739999771118164,-82.713527,9.639746
6,1,988,20.700000762939453,10.800000190734863,53.75,9.5,-66.839688,10.493257
7,1,7,26.100000381469727,8.800000190734863,4.179999828338623,12.859999656677246,-54.661153,-2.454175
8,1,277,24.600000381469727,9.800000190734863,6.199999809265137,12.670000076293945,-77.063826,-0.426305
9,1,61,25.700000762939453,8.899999618530273,11.369999885559082,11.960000038146973,-54.60534,-2.503619
10,1,311,26.100000381469727,10.699999809265137,59.459999084472656,9.710000038146973,-75.197235,9.867846
11,1,287,24.899999618530273,9,28.59000015258789,9.529999732971191,-83.78566,10.184399
12,1,39,27.700000762939453,9.800000190734863,5.53000020980835,13.350000381469727,-75.233038,8.716961
13,1,NA,NA,NA,NA,NA,-66.897434,10.535738
14,1,361,24.799999237060547,11.5,104.87999725341797,9,-83.994139,9.334956
15,1,35,25.899999618530273,9.399999618530273,11.729999542236328,11.949999809265137,-54.951355,-2.513556
16,1,897,17.600000381469727,10.199999809265137,48.849998474121094,10,-46.532749,-23.396544
17,1,10,24.5,7.5,3.8499999046325684,12.680000305175781,-39.20034,-17.423408
18,1,7,26.100000381469727,8.800000190734863,4.179999828338623,12.859999656677246,-54.659682,-2.45538
19,1,7,26.100000381469727,8.800000190734863,4.179999828338623,12.859999656677246,-54.661913,-2.453788
20,1,61,25.700000762939453,8.899999618530273,11.369999885559082,11.960000038146973,-54.603948,-2.505955
21,1,114,25.899999618530273,7.800000190734863,50.119998931884766,10.279999732971191,-76.739563,8.181069
22,1,7,26.100000381469727,8.800000190734863,4.179999828338623,12.859999656677246,-54.637103,-2.477608
23,1,7,26.100000381469727,8.800000190734863,4.179999828338623,12.859999656677246,-54.637326,-2.477466
24,1,61,25.700000762939453,8.899999618530273,11.369999885559082,11.960000038146973,-54.605054,-2.502874
25,1,259,25.100000381469727,9.5,41.5,9.430000305175781,-84.599655,10.47123
26,1,405,23.600000381469727,7.300000190734863,76.5,9.270000457763672,-79.738009,0.461174
27,1,4,27.299999237060547,7.5,NA,11.34000015258789,-76.179383,9.379053
28,1,900,21.899999618530273,9.5,121.44999694824219,8.970000267028809,-83.958943,10.150512
29,1,806,22,9.699999809265137,79.779998779296875,8.460000038146973,-84.950319,10.608652
30,1,83,26.399999618530273,7.199999809265137,30.479999542236328,10.430000305175781,-79.703074,9.119621
31,1,221,24.600000381469727,7.300000190734863,75.26000213623047,9.510000228881836,-79.63962,0.578047
32,1,988,20.700000762939453,10.800000190734863,53.75,9.5,-66.840297,10.49315
33,1,108,22.700000762939453,9.699999809265137,70.970001220703125,9.6899995803833,-44.720428,-23.220022
34,1,20,27,7.599999904632568,15.029999732971191,11.479999542236328,-79.744906,8.890086
35,1,1043,22.100000381469727,10.399999618530273,170.22000122070312,7.599999904632568,-73.58325,8.466687
36,1,988,20.700000762939453,10.800000190734863,53.75,9.5,-66.838367,10.490936
37,1,83,26.399999618530273,7.199999809265137,30.479999542236328,10.430000305175781,-79.696867,9.122929
